metric,value
links_total,35
services_total,60
hndl_exposed_services,26
qkd_overlay_links,6
physical_qkd_hops,13
trusted_sites,7
rekeys_total,743040
successful_rekeys,743040
failed_rekeys,0
deadline_misses,0
proactive_demotion_transition_sessions,188
reactive_fallback_rekeys,0
qkd_preferred_rekeys,334080
qkd_backed_rekeys,314540
non_qkd_fallback_rekeys,19540
qkd_backed_rekey_pct,94.151
negative_control_failed_rekeys,720
latency_p50_ms,1.666
latency_p99_ms,8.763
pqc_only_5y_npv_kEUR,1100.6
hybrid_5y_npv_kEUR,3939.2
hybrid_premium_5y_npv_kEUR,2838.6
