link,service,protocol,rekeys,successful,failed,deadline_misses,proactive_demotions,reactive_fallbacks,modes
core-0,core-0:otn,otn,23040,23040,0,0,0,0,QKD_ASSISTED:23040
core-0,core-0:ipsec,ikev2,11520,11520,0,0,0,0,PQT_QKD_COMBINED:11520
core-1,core-1:otn,otn,23040,23040,0,0,0,0,PQC_ONLY:23040
core-1,core-1:ipsec,ikev2,11520,11520,0,0,0,0,PQT_HYBRID:11520
core-2,core-2:otn,otn,23040,23040,0,0,0,0,PQC_ONLY:23040
core-2,core-2:ipsec,ikev2,11520,11520,0,0,0,0,PQT_HYBRID:11520
core-3,core-3:otn,otn,23040,23040,0,0,0,0,QKD_ASSISTED:23040
core-3,core-3:ipsec,ikev2,11520,11520,0,0,0,0,PQT_QKD_COMBINED:11520
core-4,core-4:otn,otn,23040,23040,0,0,0,0,PQC_ONLY:23040
core-4,core-4:ipsec,ikev2,11520,11520,0,0,0,0,PQT_HYBRID:11520
core-5,core-5:otn,otn,23040,23040,0,0,0,0,PQC_ONLY:23040
core-5,core-5:ipsec,ikev2,11520,11520,0,0,0,0,PQT_HYBRID:11520
metro0-0,metro0-0:macsec,macsec,17280,17280,0,0,0,0,PQT_HYBRID:17280
metro0-0,metro0-0:ipsec,ikev2,2880,2880,0,0,0,0,PQT_HYBRID:2880
metro0-1,metro0-1:macsec,macsec,17280,17280,0,0,0,0,PQT_HYBRID:17280
metro0-1,metro0-1:ipsec,ikev2,2880,2880,0,0,0,0,PQT_HYBRID:2880
metro0-2,metro0-2:macsec,macsec,17280,17280,0,0,0,0,PQT_QKD_COMBINED:17280
metro0-2,metro0-2:ipsec,ikev2,2880,2880,0,0,0,0,PQT_HYBRID:2880
metro0-3,metro0-3:macsec,macsec,17280,17280,0,0,0,0,PQT_HYBRID:17280
metro0-3,metro0-3:ipsec,ikev2,2880,2880,0,0,0,0,PQT_HYBRID:2880
metro0-4,metro0-4:macsec,macsec,17280,17280,0,0,0,0,PQT_HYBRID:17280
metro0-4,metro0-4:ipsec,ikev2,2880,2880,0,0,0,0,PQT_HYBRID:2880
metro1-0,metro1-0:macsec,macsec,17280,17280,0,0,0,0,PQT_HYBRID:17280
metro1-0,metro1-0:ipsec,ikev2,2880,2880,0,0,0,0,PQT_HYBRID:2880
metro1-1,metro1-1:macsec,macsec,17280,17280,0,0,0,0,PQT_HYBRID:17280
metro1-1,metro1-1:ipsec,ikev2,2880,2880,0,0,0,0,PQT_HYBRID:2880
metro1-2,metro1-2:macsec,macsec,17280,17280,0,0,0,0,PQT_HYBRID:17280
metro1-2,metro1-2:ipsec,ikev2,2880,2880,0,0,0,0,PQT_HYBRID:2880
metro1-3,metro1-3:macsec,macsec,17280,17280,0,0,0,0,PQT_HYBRID:17280
metro1-3,metro1-3:ipsec,ikev2,2880,2880,0,0,0,0,PQT_HYBRID:2880
metro1-4,metro1-4:macsec,macsec,17280,17280,0,0,0,0,PQT_HYBRID:17280
metro1-4,metro1-4:ipsec,ikev2,2880,2880,0,0,0,0,PQT_HYBRID:2880
metro2-0,metro2-0:macsec,macsec,17280,17280,0,0,0,0,PQT_HYBRID:17280
metro2-0,metro2-0:ipsec,ikev2,2880,2880,0,0,0,0,PQT_HYBRID:2880
metro2-1,metro2-1:macsec,macsec,17280,17280,0,0,0,0,PQT_HYBRID:17280
metro2-1,metro2-1:ipsec,ikev2,2880,2880,0,0,0,0,PQT_HYBRID:2880
metro2-2,metro2-2:macsec,macsec,17280,17280,0,0,0,0,PQT_QKD_COMBINED:17280
metro2-2,metro2-2:ipsec,ikev2,2880,2880,0,0,0,0,PQT_HYBRID:2880
metro2-3,metro2-3:macsec,macsec,17280,17280,0,0,0,0,PQT_HYBRID:17280
metro2-3,metro2-3:ipsec,ikev2,2880,2880,0,0,0,0,PQT_HYBRID:2880
metro2-4,metro2-4:macsec,macsec,17280,17280,0,0,0,0,PQT_HYBRID:17280
metro2-4,metro2-4:ipsec,ikev2,2880,2880,0,0,0,0,PQT_HYBRID:2880
dci-0,dci-0:otn,otn,11520,11520,0,0,8,0,PQC_ONLY:1960;QKD_ASSISTED:9560
dci-0,dci-0:macsec,macsec,86400,86400,0,0,120,0,PQT_HYBRID:14640;PQT_QKD_COMBINED:71760
dci-0,dci-0:ipsec,ikev2,17280,17280,0,0,60,0,PQT_HYBRID:2940;PQT_QKD_COMBINED:14340
dci-1,dci-1:otn,otn,11520,11520,0,0,0,0,QKD_ASSISTED:11520
dci-1,dci-1:macsec,macsec,86400,86400,0,0,0,0,PQT_QKD_COMBINED:86400
dci-1,dci-1:ipsec,ikev2,17280,17280,0,0,0,0,PQT_QKD_COMBINED:17280
acc-0,acc-0:ipsec,ikev2,240,240,0,0,0,0,PQT_HYBRID:240
acc-1,acc-1:ipsec,ikev2,240,240,0,0,0,0,PQT_HYBRID:240
acc-2,acc-2:ipsec,ikev2,240,240,0,0,0,0,TRADITIONAL_ONLY:240
acc-3,acc-3:ipsec,ikev2,240,240,0,0,0,0,PQT_HYBRID:240
acc-4,acc-4:ipsec,ikev2,240,240,0,0,0,0,PQT_HYBRID:240
acc-5,acc-5:ipsec,ikev2,240,240,0,0,0,0,PQT_HYBRID:240
acc-6,acc-6:ipsec,ikev2,240,240,0,0,0,0,PQT_HYBRID:240
acc-7,acc-7:ipsec,ikev2,240,240,0,0,0,0,PQT_HYBRID:240
acc-8,acc-8:ipsec,ikev2,240,240,0,0,0,0,PQT_HYBRID:240
acc-9,acc-9:ipsec,ikev2,240,240,0,0,0,0,TRADITIONAL_ONLY:240
acc-10,acc-10:ipsec,ikev2,240,240,0,0,0,0,PQT_HYBRID:240
acc-11,acc-11:ipsec,ikev2,240,240,0,0,0,0,PQT_HYBRID:240
